settlement_ref,credited_amount,settled_on
TXN-54FBCDCE,14113.95,2026-08-04
TXN-3AB3DA74,44662.89,2026-08-05
TXN-EFAA328B,12016.71,2026-08-01
TXN-ED4B75C0,35215.59,2026-08-07
txn-9ba975fa,43530.37,2026-08-19
TXN-0378A237,47882.05,2026-08-09
TXN-A0D205CC,42450.97,2026-08-13
TXN-A0FEE0E7,27043.29,2026-08-02
TXN-6A3B6E94,44329.86,2026-08-11
TXN-FD1E2632,38766.88,2026-08-02
TXN-D14C57E0,22943.81,2026-08-04
TXN-F239FB14,8971.36,2026-08-03
TXN-FD4F907A,48491.73,2026-08-15
TXN-53300E37,41179.23,2026-08-11
TXN-D0821E2C,45700.24,2026-08-09
TXN-25265C41,25211.95,2026-08-14
TXN-5661B5E7,27711.97,2026-08-05
TXN-8956960C,11356.38,2026-08-20
TXN-02B20E17,30921.91,2026-08-02
TXN-E36B8638,29996.48,2026-08-04
3EB666A1,27080.03,2026-08-04
TXN-DDF5ED92,22959.32,2026-08-10
TXN-75891A73,9343.27,2026-08-09
TXN-3FACF5FD,30644.03,2026-08-10
TXN-51868189,46160.49,2026-08-10
F0897A7E,18467.55,2026-08-01
GW/TXN-0610E8CB,4739.85,2026-08-08
TXN-191FDC26,13347.84,2026-08-16
TXN-A037E1D8,10456.98,2026-08-18
TXN-16FBFC5C,26120.0,2026-08-12
TXN-A6B14682,29621.28,2026-08-04
TXN-BD8701AA,12281.23,2026-08-13
8D42539B,12528.36,2026-08-19
TXN-6EE214FF,18037.73,2026-08-05
TXN-8D841BF8,36546.57,2026-08-04
TXN-56698673,27046.14,2026-08-08
TXN-A00FBE5E,43787.05,2026-08-09
GW/TXN-AC1B40EF,32781.17,2026-08-18
TXN-989D5928,24327.24,2026-08-06
TXN-A794F10A,606.69,2026-08-02
TXN-199B3303,24590.23,2026-08-18
TXN-FF269BA4,27338.66,2026-08-02
TXN-E0722BD7,25391.09,2026-08-03
TXN-7F2057F8,9698.34,2026-08-17
TXN-6A7B33BA,47109.01,2026-08-08
TXN-E4555192,4558.18,2026-08-23
TXN-738C10F0,35951.49,2026-08-09
4F96D309,14606.88,2026-08-03
TXN-58C4A53C,33337.74,2026-08-18
TXN-B00026AB,27884.57,2026-08-04
TXN-D8E722E4,10578.07,2026-08-07
TXN-0272BC0C,45314.16,2026-08-17
TXN-5B97B5FA,675.51,2026-08-14
TXN-04CEBAC2,22370.86,2026-08-09
TXN-9696204C,18776.19,2026-08-18
TXN-DD15593D,34262.3,2026-08-02
TXN-F456B2D4,37599.14,2026-08-18
GW/TXN-FBEFD564,9378.35,2026-08-06
TXN-44B21FAB,35213.27,2026-08-09
TXN-06A6BA88,40921.04,2026-08-16
TXN-3DB3E8FD,33171.64,2026-08-08
TXN-A8145C63,31602.78,2026-08-03
TXN-BF2AEF0A,43913.4,2026-08-11
TXN-C4D8B51C,29419.67,2026-08-09
TXN-F4967BC9,6224.47,2026-08-14
TXN-055F648E,583.72,2026-08-04
TXN-A7801192,46514.4,2026-08-12
TXN-A5C919FA,15048.63,2026-08-04
TXN-91748228,27943.42,2026-08-13
TXN-9E878EF0,45188.87,2026-08-17
TXN-552B53FE ,14702.23,2026-08-18
FA74E440,11078.22,2026-08-15
TXN-89029E66,31830.57,2026-08-10
TXN-915CD186,11619.71,2026-08-08
TXN-568E794C,30758.06,2026-08-02
TXN-94FA436C,10124.54,2026-08-14
TXN-E007FBCC,32974.87,2026-08-13
TXN-E1FF161F,9206.39,2026-08-05
TXN-76519FF3,42492.65,2026-08-18
TXN-0F128AB2,49400.68,2026-08-15
TXN-796B0D1F,36104.06,2026-08-15
TXN-49D185FA,8378.32,2026-08-21
TXN-F381F58A,38407.78,2026-08-10
TXN-874A30B3,35820.47,2026-08-09
TXN-F4F9CE70,7349.52,2026-08-11
TXN-7C250B42,3679.33,2026-08-05
TXN-2AF365ED,10738.3,2026-08-15
TXN-444CAC2F,42908.24,2026-08-23
TXN-EEC9C254,37797.02,2026-08-01
TXN-77325F6E,36127.05,2026-08-14
TXN-839F8593,22073.88,2026-08-16
TXN-D85F9E12,19603.87,2026-08-18
TXN-EEC52E77,23354.07,2026-08-14
TXN-3F32D8DE,16678.87,2026-08-11
TXN-C60D15BB,41828.09,2026-08-09
EAFC5F54,11599.0,2026-08-18
TXN-8B6614D9,1508.81,2026-08-08
TXN-E0C8D1D5,28416.49,2026-08-19
TXN-86D083AF,29947.52,2026-08-12
TXN-D36BAF64,1771.08,2026-08-14
03463E99,4261.83,2026-08-13
TXN-BC7C06D2,21704.71,2026-08-02
TXN-90901976,21292.91,2026-08-11
TXN-E68D0B90,41521.01,2026-08-12
TXN-AB68C8D8,47319.63,2026-08-06
TXN-64C59E1A,41373.86,2026-08-16
txn-ce540e88,44140.74,2026-08-08
TXN-453A96D5,16588.2,2026-08-01
TXN-B1E966E5,44075.84,2026-08-09
TXN-66D4AB0C,47429.1,2026-08-18
TXN-3C6C7A9C,38029.15,2026-08-18
TXN-52A297B2,14753.37,2026-08-15
TXN-CF52CF63,27896.91,2026-08-19
TXN-7A6748D0,35291.32,2026-08-18
TXN-A5DD023D,9826.76,2026-08-08
TXN-D46699F9,36314.21,2026-08-06
TXN-A1A46656,41715.1,2026-08-20
TXN-8C0D09EA,35546.92,2026-08-06
TXN-F7A67909,34311.72,2026-08-02
TXN-1459ECBB,14574.8,2026-08-04
TXN-A736FA88,47082.65,2026-08-06
TXN-C9516996,4083.68,2026-08-03
TXN-CF75FAED,4716.45,2026-08-05
TXN-DB349D4E ,39641.67,2026-08-14
TXN-76DB06B5,29631.99,2026-08-15
TXN-2F052C64,48025.38,2026-08-20
TXN-773312F3,13599.98,2026-08-07
TXN-056432F0,8248.36,2026-08-10
TXN-306CF7DC,14455.97,2026-08-10
TXN-D292E349 ,46233.6,2026-08-03
8CE276BF,32557.92,2026-08-04
TXN-0DC22DEA,34589.56,2026-08-15
TXN-E40B3C8D,24942.86,2026-08-13
TXN-99CA3A6A,1780.31,2026-08-11
GW/TXN-B4A31E3E,49978.83,2026-08-19
TXN-ACDDC087,22390.36,2026-08-16
TXN-96B5A331,40805.12,2026-08-23
TXN-34FC6599,5677.69,2026-08-11
TXN-74645EA9 ,47287.08,2026-08-16
TXN-232E6CB3,16502.05,2026-08-03
TXN-171BBE8A,43533.69,2026-08-17
TXN-9CB3C2E6,30693.92,2026-08-07
TXN-09C9A76D,6985.15,2026-08-07
txn-254253eb,48670.77,2026-08-16
TXN-3BEC817A,32561.63,2026-08-07
TXN-9622919F,7257.16,2026-08-17
txn-eb188638,39492.01,2026-08-14
TXN-978F09EA,24737.2,2026-08-19
TXN-CEDCE572,27819.91,2026-08-16
TXN-B659E4B8,12320.87,2026-08-11
TXN-EF42B3F2,25363.41,2026-08-16
TXN-8AB61092,26534.58,2026-08-04
TXN-47085B9F,32911.68,2026-08-05
TXN-AFF4C742,34788.88,2026-08-09
TXN-655B6733,26366.01,2026-08-11
TXN-AEED0745,3799.09,2026-08-18
TXN-9F6F7FFD ,21981.59,2026-08-08
TXN-5770D7B8,45219.49,2026-08-06
TXN-AD657929,19054.63,2026-08-02
TXN-D9081A0E,39729.71,2026-08-14
TXN-A0478647,32076.28,2026-08-05
TXN-A76C1309,14737.77,2026-08-01
TXN-33FDF7BD,14991.98,2026-08-15
TXN-D53E7AB5,42740.11,2026-08-10
TXN-B0FCC715,15145.68,2026-08-19
TXN-227E792B ,28513.49,2026-08-13
TXN-04544CF4,39386.22,2026-08-10
TXN-1AA80BD0,35462.18,2026-08-09
TXN-31FB0052,2451.42,2026-08-04
TXN-136CA43A,7004.88,2026-08-19
TXN-F2459BCC,7041.91,2026-08-14
TXN-276CFDA1,45717.61,2026-08-12
TXN-14A51C1D,43584.65,2026-08-16
TXN-E06177D6,47369.42,2026-08-03
TXN-2EEAA7F4,4969.99,2026-08-13
TXN-EED9FFF6,18364.59,2026-08-18
TXN-1DC2A6D6,5863.13,2026-08-16
TXN-0DE6C016,3629.24,2026-08-23
TXN-5F3F8C1A,2744.67,2026-08-14
TXN-CA98F8AD,12122.6,2026-08-16
TXN-E9692A81,47494.35,2026-08-15
TXN-EC42C941,35727.33,2026-08-14
TXN-FF87F8D1,2119.46,2026-08-20
TXN-A7356A43,18452.96,2026-08-15
TXN-CB1B43A5,14156.13,2026-08-12
TXN-24D0997B,10999.24,2026-08-16
TXN-13587E09,49446.63,2026-08-03
TXN-74E39FF6,11189.59,2026-08-18
TXN-69F080C7,9137.61,2026-08-18
TXN-0F4AD1FB,39604.24,2026-08-06
TXN-EDA2BDA7,6774.55,2026-08-07
TXN-A2D0330E,18420.93,2026-08-16
TXN-B6C0AC5D,32345.36,2026-08-17
TXN-534D9A3A,33762.59,2026-08-16
TXN-03589BC0,30610.72,2026-08-03
TXN-176C87FA,27643.64,2026-08-20
TXN-A7027B95,22958.91,2026-08-20
TXN-EB832653,43067.48,2026-08-04
TXN-73E9C813 ,11810.43,2026-08-14
TXN-1D3F1C54,15969.92,2026-08-04
TXN-68842D4B ,23976.26,2026-08-05
TXN-437E26C5,18946.02,2026-08-07
TXN-79D73495,43743.56,2026-08-04
TXN-A520148B,15966.22,2026-08-04
TXN-94D90E2C,11600.12,2026-08-05
TXN-40747718,38248.98,2026-08-18
TXN-821AC838,40186.39,2026-08-14
TXN-E5419EE6,33062.65,2026-08-01
TXN-46CC057D,38239.27,2026-08-06
TXN-DA4396AA,33038.56,2026-08-06
