entry_id,account,gross_value,entry_date
TXN-54FBCDCE,M-328,14113.95,04.08.2026
TXN-3AB3DA74,M-189,44662.89,04.08.2026
TXN-EFAA328B,M-716,12016.71,01.08.2026
TXN-ED4B75C0,M-529,35215.59,07.08.2026
TXN-9BA975FA ,M-877,43530.37,19.08.2026
TXN-0378A237,M-444,47882.05,09.08.2026
TXN-A0D205CC,M-718,42450.97,13.08.2026
TXN-A0FEE0E7,M-487,27043.29,02.08.2026
TXN-6A3B6E94,M-470,44329.86,10.08.2026
TXN-FD1E2632,M-181,38766.88,02.08.2026
TXN-D14C57E0,M-954,22943.81,04.08.2026
TXN-F239FB14,M-846,8971.36,03.08.2026
TXN-FD4F907A,M-755,49481.41,15.08.2026
TXN-53300E37,M-924,41179.23,11.08.2026
TXN-D0821E2C,M-680,45700.24,09.08.2026
TXN-25265C41,M-758,25211.95,11.08.2026
TXN-5661B5E7,M-369,28287.72,05.08.2026
TXN-8956960C,M-241,11356.38,19.08.2026
TXN-02B20E17,M-911,31558.58,02.08.2026
TXN-E36B8638,M-579,29996.48,03.08.2026
txn-3eb666a1,M-373,27080.03,04.08.2026
TXN-DDF5ED92,M-839,22959.32,10.08.2026
TXN-75891A73,M-208,9343.27,09.08.2026
TXN-3FACF5FD,M-256,30644.03,10.08.2026
TXN-51868189,M-100,46160.49,06.08.2026
GW/TXN-F0897A7E,M-951,18467.55,01.08.2026
GW/TXN-0610E8CB,M-597,4739.85,08.08.2026
TXN-191FDC26,M-993,13620.3,16.08.2026
TXN-A037E1D8,M-419,10456.98,18.08.2026
TXN-16FBFC5C,M-223,26120.0,12.08.2026
TXN-A6B14682,M-335,29621.28,03.08.2026
TXN-BD8701AA,M-785,12281.23,11.08.2026
GW/TXN-8D42539B,M-584,12528.36,19.08.2026
TXN-6EE214FF,M-520,18037.73,04.08.2026
TXN-8D841BF8,M-919,36546.57,04.08.2026
TXN-56698673,M-243,27046.14,08.08.2026
TXN-A00FBE5E,M-177,43787.05,09.08.2026
AC1B40EF,M-653,32781.17,18.08.2026
TXN-989D5928,M-985,24327.24,06.08.2026
TXN-A794F10A,M-499,606.69,02.08.2026
TXN-ABA24577,M-848,34981.28,15.08.2026
TXN-199B3303,M-294,24590.23,18.08.2026
TXN-FF269BA4,M-865,27338.66,02.08.2026
TXN-E0722BD7,M-973,25391.09,02.08.2026
TXN-7F2057F8,M-709,9698.34,17.08.2026
TXN-6A7B33BA,M-683,47109.01,08.08.2026
TXN-E4555192,M-773,4558.18,20.08.2026
TXN-738C10F0,M-344,35951.49,09.08.2026
TXN-9120E5D5,M-676,31247.38,03.08.2026
txn-4f96d309,M-548,14606.88,03.08.2026
TXN-58C4A53C,M-999,33337.74,18.08.2026
TXN-B00026AB,M-378,27884.57,04.08.2026
TXN-D8E722E4,M-749,10578.07,07.08.2026
TXN-0272BC0C,M-966,45314.16,17.08.2026
TXN-5B97B5FA,M-889,675.51,14.08.2026
TXN-04CEBAC2,M-822,22370.86,09.08.2026
TXN-9696204C,M-665,18776.19,18.08.2026
TXN-282E729C,M-915,18550.25,05.08.2026
TXN-DD15593D,M-782,34262.3,02.08.2026
TXN-F456B2D4,M-342,37599.14,18.08.2026
TXN-FBEFD564 ,M-440,9378.35,06.08.2026
TXN-44B21FAB,M-491,35213.27,09.08.2026
TXN-06A6BA88,M-571,40921.04,16.08.2026
TXN-3DB3E8FD,M-508,33171.64,08.08.2026
TXN-A8145C63,M-509,32253.35,03.08.2026
TXN-BF2AEF0A,M-367,43913.4,11.08.2026
TXN-C4D8B51C,M-453,30030.28,09.08.2026
TXN-F4967BC9,M-690,6224.47,14.08.2026
TXN-055F648E,M-925,583.72,02.08.2026
TXN-A7801192,M-438,47469.29,12.08.2026
TXN-A5C919FA,M-416,15365.95,04.08.2026
TXN-91748228,M-296,27943.42,13.08.2026
TXN-9E878EF0,M-730,45188.87,13.08.2026
txn-552b53fe,M-540,14702.23,18.08.2026
GW/TXN-FA74E440,M-584,11078.22,15.08.2026
TXN-89029E66,M-443,31830.57,10.08.2026
TXN-915CD186,M-303,11619.71,08.08.2026
TXN-568E794C,M-886,30758.06,02.08.2026
TXN-94FA436C,M-813,10124.54,14.08.2026
TXN-E007FBCC,M-105,32974.87,13.08.2026
TXN-E1FF161F,M-812,9206.39,04.08.2026
TXN-76519FF3,M-567,42492.65,18.08.2026
TXN-0F128AB2,M-709,49400.68,15.08.2026
TXN-796B0D1F,M-616,36104.06,15.08.2026
TXN-49D185FA,M-982,8378.32,18.08.2026
TXN-F381F58A,M-633,38407.78,08.08.2026
TXN-874A30B3,M-340,35820.47,09.08.2026
TXN-F4F9CE70,M-336,7349.52,11.08.2026
TXN-7C250B42,M-517,3679.33,05.08.2026
TXN-2AF365ED,M-530,10738.3,15.08.2026
TXN-444CAC2F,M-883,42908.24,19.08.2026
TXN-EEC9C254,M-973,37797.02,01.08.2026
TXN-77325F6E,M-919,36864.39,14.08.2026
TXN-839F8593,M-129,22073.88,16.08.2026
TXN-F1E44301,M-230,42105.03,13.08.2026
TXN-D85F9E12,M-677,20004.0,18.08.2026
TXN-EEC52E77,M-151,23354.07,14.08.2026
TXN-3F32D8DE,M-879,16678.87,11.08.2026
TXN-C60D15BB,M-581,41828.09,09.08.2026
EAFC5F54,M-170,11599.0,18.08.2026
TXN-8B6614D9,M-256,1508.81,08.08.2026
TXN-E0C8D1D5,M-323,28416.49,16.08.2026
TXN-86D083AF,M-865,30558.75,12.08.2026
TXN-D36BAF64,M-419,1771.08,10.08.2026
GW/TXN-03463E99,M-807,4261.83,13.08.2026
TXN-7C46C5A8,M-915,40373.63,10.08.2026
TXN-BC7C06D2,M-479,21704.71,02.08.2026
TXN-90901976,M-601,21292.91,11.08.2026
TXN-E68D0B90,M-824,41521.01,12.08.2026
TXN-AB68C8D8,M-376,48290.95,06.08.2026
TXN-64C59E1A,M-706,41373.86,16.08.2026
TXN-CE540E88 ,M-349,44140.74,08.08.2026
TXN-453A96D5,M-599,16588.2,01.08.2026
TXN-B1E966E5,M-818,44075.84,09.08.2026
TXN-66D4AB0C,M-187,47429.1,18.08.2026
TXN-3C6C7A9C,M-807,38029.15,14.08.2026
TXN-52A297B2,M-514,15064.66,15.08.2026
TXN-CF52CF63,M-452,27896.91,19.08.2026
TXN-7A6748D0,M-377,35291.32,18.08.2026
TXN-A5DD023D,M-222,10032.92,08.08.2026
TXN-D46699F9,M-383,37060.93,06.08.2026
TXN-A1A46656,M-403,41715.1,20.08.2026
TXN-8C0D09EA,M-229,35546.92,06.08.2026
TXN-F7A67909,M-229,35022.16,02.08.2026
TXN-1459ECBB,M-590,14574.8,04.08.2026
TXN-A736FA88,M-589,47082.65,06.08.2026
TXN-C9516996,M-744,4167.07,03.08.2026
TXN-CF75FAED,M-354,4716.45,05.08.2026
TXN-DB349D4E ,M-331,39641.67,14.08.2026
TXN-76DB06B5,M-539,29631.99,15.08.2026
TXN-773312F3,M-183,13599.98,07.08.2026
TXN-056432F0,M-518,8248.36,06.08.2026
TXN-306CF7DC,M-389,14761.19,10.08.2026
GW/TXN-D292E349,M-906,46233.6,03.08.2026
8CE276BF,M-372,32557.92,04.08.2026
TXN-0DC22DEA,M-816,34589.56,15.08.2026
TXN-E40B3C8D,M-182,24942.86,09.08.2026
B4A31E3E,M-788,49978.83,19.08.2026
TXN-ACDDC087,M-384,22390.36,16.08.2026
TXN-96B5A331,M-193,40805.12,19.08.2026
TXN-34FC6599,M-264,5677.69,11.08.2026
74645EA9,M-933,47287.08,16.08.2026
TXN-232E6CB3,M-891,16502.05,03.08.2026
TXN-171BBE8A,M-573,43533.69,17.08.2026
TXN-9CB3C2E6,M-610,31320.38,07.08.2026
TXN-09C9A76D,M-394,6985.15,07.08.2026
GW/TXN-254253EB,M-723,48670.77,16.08.2026
TXN-48832944,M-330,20695.54,18.08.2026
TXN-3BEC817A,M-257,32561.63,04.08.2026
TXN-B085E390,M-594,21066.77,17.08.2026
TXN-9622919F,M-171,7257.16,17.08.2026
txn-eb188638,M-373,39492.01,14.08.2026
TXN-978F09EA,M-252,24737.2,19.08.2026
TXN-CEDCE572,M-656,27819.91,16.08.2026
TXN-B659E4B8,M-492,12320.87,11.08.2026
TXN-B5D9E8A8,M-767,39723.49,13.08.2026
TXN-EF42B3F2,M-704,25363.41,16.08.2026
TXN-8AB61092,M-567,26534.58,04.08.2026
TXN-47085B9F,M-258,32911.68,05.08.2026
TXN-AFF4C742,M-765,34788.88,09.08.2026
TXN-655B6733,M-424,26914.3,11.08.2026
TXN-AEED0745,M-746,3886.83,18.08.2026
9F6F7FFD,M-200,21981.59,08.08.2026
TXN-5770D7B8,M-147,45219.49,06.08.2026
TXN-AD657929,M-249,19054.63,02.08.2026
TXN-D9081A0E,M-274,39729.71,14.08.2026
TXN-A0478647,M-570,32076.28,05.08.2026
TXN-A76C1309,M-659,14737.77,01.08.2026
TXN-33FDF7BD,M-534,15308.14,15.08.2026
TXN-D53E7AB5,M-209,42740.11,10.08.2026
TXN-B0FCC715,M-816,15145.68,19.08.2026
227E792B,M-802,28513.49,13.08.2026
TXN-04544CF4,M-324,40195.63,10.08.2026
TXN-1AA80BD0,M-775,36185.95,09.08.2026
TXN-31FB0052,M-907,2451.42,04.08.2026
TXN-136CA43A,M-402,7004.88,19.08.2026
TXN-F2459BCC,M-652,7041.91,14.08.2026
TXN-276CFDA1,M-950,45717.61,12.08.2026
TXN-14A51C1D,M-923,43584.65,16.08.2026
TXN-E06177D6,M-980,48341.76,03.08.2026
TXN-2EEAA7F4,M-504,4969.99,13.08.2026
TXN-EED9FFF6,M-866,18744.99,18.08.2026
TXN-1DC2A6D6,M-339,5863.13,13.08.2026
TXN-0DE6C016,M-943,3629.24,20.08.2026
TXN-5F3F8C1A,M-138,2744.67,14.08.2026
TXN-CA98F8AD,M-650,12122.6,16.08.2026
TXN-EC42C941,M-524,36466.66,14.08.2026
TXN-FF87F8D1,M-479,2119.46,20.08.2026
TXN-A7356A43,M-802,18452.96,15.08.2026
TXN-24D0997B,M-754,10999.24,15.08.2026
TXN-13587E09,M-905,49446.63,02.08.2026
TXN-74E39FF6,M-990,11189.59,18.08.2026
TXN-B177CCB7,M-248,14225.1,05.08.2026
TXN-69F080C7,M-776,9137.61,18.08.2026
TXN-0F4AD1FB,M-343,39604.24,05.08.2026
TXN-EDA2BDA7,M-531,6774.55,06.08.2026
TXN-A2D0330E,M-707,18420.93,16.08.2026
TXN-B6C0AC5D,M-131,32345.36,17.08.2026
TXN-534D9A3A,M-602,34461.83,16.08.2026
TXN-03589BC0,M-167,30610.72,03.08.2026
TXN-176C87FA,M-432,27643.64,20.08.2026
TXN-A7027B95,M-719,22958.91,20.08.2026
TXN-EB832653,M-664,43946.46,04.08.2026
TXN-73E9C813 ,M-447,11810.43,14.08.2026
TXN-1D3F1C54,M-361,15969.92,04.08.2026
68842D4B,M-193,23976.26,05.08.2026
TXN-437E26C5,M-233,18946.02,04.08.2026
TXN-79D73495,M-868,43743.56,04.08.2026
TXN-A520148B,M-206,15966.22,02.08.2026
TXN-94D90E2C,M-210,11600.12,05.08.2026
TXN-40747718,M-687,38248.98,18.08.2026
TXN-821AC838,M-728,41012.13,14.08.2026
TXN-E5419EE6,M-810,33062.65,01.08.2026
TXN-46CC057D,M-447,38239.27,06.08.2026
TXN-DA4396AA,M-171,33038.56,06.08.2026
TXN-9FA4A08A,M-485,26758.89,01.08.2026
C19B00D9,M-432,15926.05,11.08.2026
TXN-671B3E1F,M-790,31082.99,05.08.2026
TXN-6F548439,M-552,24540.25,15.08.2026
TXN-016C7928,M-213,17586.06,07.08.2026
TXN-CE584104,M-146,33523.06,19.08.2026
txn-41189ab3,M-316,10618.94,20.08.2026
TXN-8DB7A670,M-540,25120.57,11.08.2026
txn-af0e76a8,M-672,11890.48,13.08.2026
TXN-5B115FFD,M-826,28883.28,11.08.2026
TXN-99BA6B5C ,M-275,48326.88,04.08.2026
TXN-0FF0EA7F,M-546,5740.23,03.08.2026
0D01E7C9,M-441,17305.91,13.08.2026
TXN-936D43F9,M-457,45343.18,17.08.2026
TXN-B2A2EED9,M-302,7748.99,05.08.2026
TXN-7CC1D3AE,M-891,9268.73,05.08.2026
TXN-52691C80,M-678,34216.11,19.08.2026
TXN-99961F63,M-169,7972.39,11.08.2026
TXN-CB251E9E,M-175,17921.14,09.08.2026
TXN-AC6D2757,M-393,18752.51,15.08.2026
TXN-98276966,M-573,25599.86,03.08.2026
TXN-D9A23D2B,M-719,9817.85,15.08.2026
TXN-62F7BCEE,M-957,40642.86,02.08.2026
TXN-DF9F2A86,M-353,9041.67,03.08.2026
TXN-FAF9C9F7,M-712,17249.17,13.08.2026
TXN-FD9DF43E,M-794,5178.04,11.08.2026
TXN-0A299336,M-717,32999.92,09.08.2026
TXN-E0C8BC23,M-458,33348.8,11.08.2026
TXN-D7A10AAE,M-186,35587.28,13.08.2026
TXN-8D6070D1,M-230,16759.59,13.08.2026
TXN-FD992CC1,M-620,33687.57,17.08.2026
TXN-1C596405,M-258,49998.84,16.08.2026
TXN-D4D7E69B,M-856,27218.65,04.08.2026
TXN-99E725F0,M-732,43881.44,02.08.2026
GW/TXN-670BCFA3,M-809,9451.88,13.08.2026
TXN-C7A1C7A7,M-559,37552.56,20.08.2026
TXN-5512EAE8,M-955,39326.33,08.08.2026
TXN-97D04EBD,M-896,38587.21,19.08.2026
TXN-02496346,M-920,40936.12,17.08.2026
TXN-C185223F,M-264,4651.82,17.08.2026
txn-cc45676e,M-327,22154.89,17.08.2026
TXN-C974DAC2,M-341,25349.35,14.08.2026
txn-cdb6f8c2,M-201,1895.28,03.08.2026
TXN-51F309E7,M-583,45911.11,05.08.2026
TXN-6AC11EDC,M-181,759.93,16.08.2026
TXN-5E026F40,M-723,47041.18,07.08.2026
TXN-FBE27BCF,M-344,6531.49,10.08.2026
TXN-B191AE86,M-611,5987.47,20.08.2026
TXN-A9B527D0,M-398,36067.94,17.08.2026
TXN-A3D8045A,M-291,28747.85,20.08.2026
TXN-E0EFA300,M-657,47693.48,17.08.2026
TXN-1CBE0728,M-482,31965.7,13.08.2026
TXN-5D460242,M-346,3844.2,01.08.2026
TXN-F182EB5B,M-236,37955.61,04.08.2026
TXN-0ACF594F ,M-950,32318.38,18.08.2026
TXN-B5D38858,M-568,35944.23,06.08.2026
TXN-26F9C313,M-142,10373.76,07.08.2026
TXN-FBA6D623,M-656,49461.57,10.08.2026
TXN-078FEDCB,M-148,43175.86,07.08.2026
TXN-2FA82B66,M-547,40067.45,11.08.2026
TXN-10DB342D,M-608,48699.32,15.08.2026
TXN-096FA59F,M-534,4589.27,17.08.2026
TXN-E6232D37,M-205,15041.44,20.08.2026
TXN-AE59F2C3,M-536,30329.77,10.08.2026
GW/TXN-ADB44721,M-625,20607.41,03.08.2026
TXN-22B126FA,M-135,39174.94,05.08.2026
TXN-BEA51363,M-680,18426.45,08.08.2026
TXN-04C69F21,M-480,47466.76,05.08.2026
TXN-4AFB19FA,M-507,26708.26,03.08.2026
TXN-4A5E3E0D,M-290,1782.71,09.08.2026
TXN-1FD32069,M-820,38860.74,18.08.2026
TXN-67381768,M-602,45865.71,20.08.2026
TXN-6A934686,M-830,9046.49,05.08.2026
TXN-1523A667,M-783,49335.45,03.08.2026
TXN-B558226C,M-407,14872.93,03.08.2026
GW/TXN-7C99414F,M-305,11599.96,06.08.2026
GW/TXN-0CDF26F8,M-578,28827.73,01.08.2026
TXN-714AC47B,M-836,49979.95,03.08.2026
TXN-0EEC46E7,M-424,6703.68,14.08.2026
GW/TXN-EDBBE2A0,M-999,17553.48,15.08.2026
TXN-F02E63F5,M-951,43476.48,14.08.2026
TXN-B4813453,M-826,8517.36,05.08.2026
TXN-B28AED50,M-301,4403.57,17.08.2026
TXN-9B95FAE9,M-646,15489.82,09.08.2026
TXN-BA38CCB4,M-774,8132.62,06.08.2026
TXN-48787FF3,M-129,41349.2,11.08.2026
TXN-CA4D7CEE,M-685,10935.01,19.08.2026
TXN-CDD52C41,M-396,31544.62,01.08.2026
TXN-771AB1A7,M-515,40463.79,16.08.2026
TXN-B71D0CA6,M-525,8324.98,03.08.2026
TXN-52E5FD7F,M-835,15972.83,11.08.2026
TXN-7DFEB291,M-627,38152.92,12.08.2026
TXN-88CE8004,M-353,13739.85,08.08.2026
TXN-D85B8811,M-528,43276.11,02.08.2026
TXN-455AF270,M-420,29095.51,06.08.2026
TXN-82483819,M-415,23607.35,06.08.2026
TXN-69C23AD0,M-320,48350.99,13.08.2026
TXN-124BBE27,M-963,30077.18,02.08.2026
TXN-ED1EC1AD,M-541,42435.03,10.08.2026
TXN-A0F6E0F5,M-474,38310.91,09.08.2026
TXN-2253D659,M-666,10135.44,02.08.2026
1B63259B,M-386,38338.0,13.08.2026
TXN-E28F2FF2,M-447,39847.41,04.08.2026
TXN-109A68AD,M-612,25701.56,05.08.2026
TXN-EFEED3A7,M-585,16985.51,02.08.2026
TXN-F90FF257,M-727,16734.31,20.08.2026
TXN-BA2D58E1,M-707,42208.8,13.08.2026
TXN-21049C68,M-406,35582.62,17.08.2026
TXN-DF834154,M-526,5925.43,12.08.2026
TXN-B1730AF7,M-901,48370.0,20.08.2026
TXN-A15DEBFF,M-697,36209.31,19.08.2026
TXN-B9BA338A,M-817,2062.74,05.08.2026
TXN-15474DAA,M-522,21229.62,01.08.2026
TXN-FC8144C5,M-968,23844.47,17.08.2026
TXN-945C1E5A,M-778,28263.9,05.08.2026
TXN-7DDDEC85,M-450,45650.15,11.08.2026
TXN-0485E7A9,M-385,47888.2,20.08.2026
TXN-7F3B670C,M-821,10760.25,10.08.2026
TXN-3D92CD52,M-838,46757.03,12.08.2026
GW/TXN-ECB681D5,M-504,27387.95,04.08.2026
TXN-6F1E04AB,M-552,4411.96,02.08.2026
TXN-02235480,M-700,30976.01,09.08.2026
TXN-0FA6DDA1,M-753,26786.55,02.08.2026
TXN-EF36F1AF,M-202,36009.22,04.08.2026
TXN-D6926E8A,M-394,10373.07,16.08.2026
TXN-27481E04,M-647,28919.6,02.08.2026
TXN-2B1CC99E,M-137,41961.44,06.08.2026
TXN-402AC942,M-656,49460.42,11.08.2026
TXN-F4CF7EC0,M-215,10044.16,17.08.2026
TXN-CDA0DD1F,M-114,36070.61,15.08.2026
TXN-16707CF1,M-725,10061.48,19.08.2026
TXN-D00F7612,M-510,16732.37,13.08.2026
TXN-C5657615,M-106,46823.36,05.08.2026
TXN-79E97A01,M-437,13716.22,08.08.2026
TXN-F4BEBCDF,M-809,32857.33,19.08.2026
TXN-15A2E7B0,M-802,8405.98,04.08.2026
TXN-380E8894,M-476,47061.46,04.08.2026
TXN-69561589,M-720,23021.44,05.08.2026
GW/TXN-25587D0D,M-780,27107.13,18.08.2026
TXN-A0A63761,M-617,27608.64,04.08.2026
TXN-D32CBA6B,M-632,16741.82,18.08.2026
TXN-229777E5,M-622,24696.98,07.08.2026
TXN-5E65BA1B,M-567,25905.77,02.08.2026
TXN-4EB76989,M-936,20099.46,10.08.2026
TXN-60900F21,M-452,2741.85,07.08.2026
TXN-EBCA69A7,M-393,23867.52,02.08.2026
TXN-38BEEE88,M-530,32471.1,05.08.2026
TXN-09CCFE8E,M-486,45897.2,13.08.2026
TXN-92EA5A23,M-221,43084.19,18.08.2026
B0838A60,M-328,6803.68,18.08.2026
TXN-E11D029A,M-644,27450.04,15.08.2026
TXN-96A7067A,M-382,17634.91,08.08.2026
8A98BC6C,M-729,33179.79,04.08.2026
TXN-527F97DD,M-557,29900.24,07.08.2026
TXN-03DEA68D,M-339,20412.13,08.08.2026
TXN-C79AE5DE,M-849,12091.0,05.08.2026
TXN-44E445D3,M-776,7591.39,08.08.2026
TXN-957FBE9B,M-705,28057.55,10.08.2026
TXN-BFA298AB,M-607,21646.43,06.08.2026
TXN-AEF72A18,M-637,19367.15,12.08.2026
TXN-664D16F5 ,M-288,15344.48,14.08.2026
TXN-F83540AA,M-925,35525.05,08.08.2026
TXN-670FF7B8,M-237,28085.69,18.08.2026
13F215D5,M-560,32511.94,09.08.2026
TXN-C17CC21F,M-717,33846.76,02.08.2026
TXN-ECEA376C,M-841,38203.97,03.08.2026
TXN-3A804EC0,M-859,9906.17,01.08.2026
TXN-7A18424C,M-309,30417.88,16.08.2026
TXN-C014AFB2,M-489,38887.94,08.08.2026
TXN-E96457EC,M-609,25884.42,10.08.2026
TXN-49D00732,M-146,15989.64,11.08.2026
TXN-EB2A7F6E,M-698,27888.92,05.08.2026
TXN-ED12E464,M-488,16828.33,10.08.2026
TXN-A8E59894,M-445,47201.49,16.08.2026
TXN-DC9765D4,M-571,37109.91,16.08.2026
